"MasterId","Property Type","Name","Address1","Address2","Address3","City","County","State","StateCode","PostalCode","Country","CountryCode","Combined_Address","Split_Indicator","Split_From_Row","Split_Address_Number","Combined_Address_standardized_formatted","Combined_Address_standardized_street_number","Combined_Address_standardized_street_name","Combined_Address_standardized_street_type","Combined_Address_standardized_unit_type","Combined_Address_standardized_unit_number","Combined_Address_standardized_city","Combined_Address_standardized_state","Combined_Address_standardized_postal_code","Combined_Address_standardized_country","Combined_Address_standardized_country_code","Combined_Address_standardized_district","Combined_Address_standardized_region","Combined_Address_standardized_suburb","Combined_Address_standardized_locality","Combined_Address_standardized_sublocality","Combined_Address_standardized_canton","Combined_Address_standardized_prefecture","Combined_Address_standardized_oblast","Combined_Address_standardized_confidence","Combined_Address_standardized_issues","Combined_Address_standardized_status","Combined_Address_standardized_api_source","Combined_Address_standardized_latitude","Combined_Address_standardized_longitude","Combined_Address_standardized_address_id","Combined_Address_standardized_from_cache"
"2532779","Retail","McDonalds","Hwy 180 and Jack Borden Way","","","Weatherford","Parker","Texas","TX","76086","United States","US","Hwy 180","Yes","1","1 of 6","Highway 180, Weatherford, Texas, 76086, United States","180","Highway 180","","","","Weatherford","Texas","76086","United States","USA","","South","","","","","","","high","","success","azure_openai_batch_enhanced_by_nominatim_simplified_cached","32.75881620","-97.79564580","826","Yes"
"2532779","Retail","McDonalds","Hwy 180 and Jack Borden Way","","","Weatherford","Parker","Texas","TX","76086","United States","US","Jack Borden Way","Yes","1","2 of 6","Jack Borden Way, Weatherford, Texas, 76086, United States","","Jack Borden Way","","","","Weatherford","Texas","76086","United States","USA","","South","","","","","","","high","","success","azure_openai_batch_enhanced_by_nominatim_simplified_cached","32.75661000","-97.78433640","827","Yes"
"2532779","Retail","McDonalds","Hwy 180 and Jack Borden Way","","","Weatherford","Parker","Texas","TX","76086","United States","US","Weatherford","Yes","1","3 of 6","Weatherford, Texas, 76086, United States","","","","","","Weatherford","Texas","76086","United States","USA","","South","","","","","","","high","","success","azure_openai_batch_enhanced_by_nominatim_simplified_cached","20.54988910","-100.40295310","828","Yes"
"2532779","Retail","McDonalds","Hwy 180 and Jack Borden Way","","","Weatherford","Parker","Texas","TX","76086","United States","US","Texas","Yes","1","4 of 6","Texas, United States","","","","","","","Texas","","United States","USA","","South","","","","","","","medium","postal_code_missing, ambiguous_city","success","azure_openai_batch_enhanced_by_nominatim_cached","31.26389050","-98.54561160","829","Yes"
"2532779","Retail","McDonalds","Hwy 180 and Jack Borden Way","","","Weatherford","Parker","Texas","TX","76086","United States","US","76086 United States","Yes","1","5 of 6","Weatherford, Texas, 76086, United States","","","","","","Weatherford","Texas","76086","United States","USA","","","","","","","","","high","","success","azure_openai_batch_enhanced_by_nominatim_simplified","32.7589648","-97.7970748","840","No"
"2532779","Retail","McDonalds","Hwy 180 and Jack Borden Way","","","Weatherford","Parker","Texas","TX","76086","United States","US","United States","Yes","1","6 of 6","United States","","","","","","","","","United States","USA","","","","","","","","","unknown","postal_code_missing, ambiguous_city","success","azure_openai_batch_enhanced_by_nominatim_cached","39.78373040","-100.44588200","831","Yes"
"2532767","Industrial","Iron Rock","10255 and 10261 Iron Rock Way","","","Elk Grove","Sacramento","California","CA","95624","United States","US","10255","Yes","2","1 of 6","10255","10255","","","","","Gornji Stupnik","","10255","","","","","","","","","","","low","postal_code_missing, ambiguous_city","success","azure_openai_batch_enhanced_by_nominatim","45.7547407","15.8573347","","No"
"2532767","Industrial","Iron Rock","10255 and 10261 Iron Rock Way","","","Elk Grove","Sacramento","California","CA","95624","United States","US","10261 Iron Rock Way","Yes","2","2 of 6","10261 Iron Rock Way","10261","Iron Rock","Way","","","Elk Grove","California","95624","","","","","","","","","","","low","postal_code_missing, ambiguous_city","success","azure_openai_batch_enhanced_by_nominatim","38.3893024","-121.3600846","","No"
"2532767","Industrial","Iron Rock","10255 and 10261 Iron Rock Way","","","Elk Grove","Sacramento","California","CA","95624","United States","US","Elk Grove","Yes","2","3 of 6","Elk Grove, United States","","","","","","Elk Grove","California","","United States","USA","","","","","","","","","medium","postal_code_missing","success","azure_openai_batch_enhanced_by_nominatim_cached","38.40879930","-121.37161780","832","Yes"
"2532767","Industrial","Iron Rock","10255 and 10261 Iron Rock Way","","","Elk Grove","Sacramento","California","CA","95624","United States","US","California","Yes","2","4 of 6","California, United States","","","","","","","California","","United States","USA","","","","","","","","","medium","postal_code_missing, ambiguous_city","success","azure_openai_batch_enhanced_by_nominatim_cached","36.70146310","-118.75599700","833","Yes"
